ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7876977,HT107563,01/05/2011 02:30:00 PM,074XX S DAMEN AVE,0820,THEFT,$500 AND UNDER,CTA BUS STOP,false,false,0735,007,17,67,06,1164309,1855427,2011,02/04/2016 06:33:39 AM,41.758906272,-87.673382615,"(41.758906272, -87.673382615)"
7876077,HT106659,01/05/2011 04:30:00 PM,073XX S HALSTED ST,0870,THEFT,POCKET-PICKING,CTA BUS,false,false,0733,007,17,68,06,1172235,1856292,2011,02/04/2016 06:33:39 AM,41.761109412,-87.644308897,"(41.761109412, -87.644308897)"
7876163,HT106767,01/05/2011 04:46:00 PM,006XX N CENTRAL AVE,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,CTA BUS,true,false,1524,015,37,25,24,1138913,1903775,2011,02/04/2016 06:33:39 AM,41.892077708,-87.765287486,"(41.892077708, -87.765287486)"
7884872,HT106796,01/05/2011 05:25:00 PM,028XX S STATE ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,2113,001,3,35,06,1176740,1886168,2011,02/04/2016 06:33:39 AM,41.842991774,-87.626897905,"(41.842991774, -87.626897905)"
7876251,HT106915,01/05/2011 06:25:00 PM,032XX S WALLACE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA BUS STOP,true,false,0924,009,11,60,03,1172822,1883526,2011,02/04/2016 06:33:39 AM,41.835829436,-87.641353996,"(41.835829436, -87.641353996)"
7876231,HT106931,01/05/2011 06:45:00 PM,002XX S STATE ST,0460,BATTERY,SIMPLE,CTA PLATFORM,true,false,0123,001,42,32,08B,1176417,1899156,2011,02/04/2016 06:33:39 AM,41.878638996,-87.627691486,"(41.878638996, -87.627691486)"
7876186,HT106921,01/05/2011 06:56:00 PM,005XX S PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,true,false,1132,011,24,26,18,1149812,1897228,2011,02/04/2016 06:33:39 AM,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
7876302,HT106939,01/05/2011 07:00:00 PM,015XX N SEDGWICK ST,0810,THEFT,OVER $500,CTA TRAIN,false,false,1821,018,43,8,06,1173364,1910604,2011,02/04/2016 06:33:39 AM,41.910121292,-87.638560993,"(41.910121292, -87.638560993)"
7876284,HT106987,01/05/2011 07:10:00 PM,005XX S PULASKI RD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,1132,011,24,26,11,1149812,1897228,2011,02/04/2016 06:33:39 AM,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
7876195,HT106941,01/05/2011 07:20:00 PM,011XX S STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,true,false,0132,001,2,32,18,1176517,1895340,2011,02/04/2016 06:33:39 AM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
7892828,HT117770,01/05/2011 09:05:00 PM,002XX W GARFIELD BLVD,0810,THEFT,OVER $500,CTA TRAIN,false,false,0934,009,3,37,06,1175647,1868500,2011,02/04/2016 06:33:39 AM,41.794533814,-87.631438536,"(41.794533814, -87.631438536)"
7876502,HT107207,01/05/2011 10:55:00 PM,015XX N SEDGWICK ST,0880,THEFT,PURSE-SNATCHING,CTA TRAIN,false,false,1821,018,43,8,06,1173365,1910580,2011,02/04/2016 06:33:39 AM,41.910055413,-87.638558033,"(41.910055413, -87.638558033)"
7878968,HT109317,01/06/2011 02:00:00 AM,003XX E GARFIELD BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA TRAIN,false,false,0232,002,3,40,08B,1179210,1868614,2011,02/04/2016 06:33:39 AM,41.794766069,-87.618369729,"(41.794766069, -87.618369729)"
7876580,HT107357,01/06/2011 02:05:00 AM,0000X W 69TH ST,031A,ROBBERY,ARMED: HANDGUN,CTA BUS STOP,true,false,0731,007,6,69,03,1177279,1859276,2011,02/04/2016 06:33:39 AM,41.769185486,-87.625732415,"(41.769185486, -87.625732415)"
7876753,HT107340,01/06/2011 02:05:00 AM,0000X W CTA 69TH ST LN,031A,ROBBERY,ARMED: HANDGUN,CTA BUS STOP,false,false,0731,003,6,69,03,1177340,1859132,2011,02/09/2018 03:44:29 PM,41.768788957,-87.625513163,"(41.768788957, -87.625513163)"
7877841,HT108432,01/06/2011 02:05:00 AM,0000X W 69TH ST,031A,ROBBERY,ARMED: HANDGUN,CTA BUS STOP,false,false,0722,007,6,69,03,1177185,1859273,2011,02/04/2016 06:33:39 AM,41.769179375,-87.626077063,"(41.769179375, -87.626077063)"
7877683,HT108235,01/06/2011 05:00:00 PM,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA TRAIN,true,false,1114,011,28,26,11,1149512,1901446,2011,02/04/2016 06:33:39 AM,41.885487535,-87.726422045,"(41.885487535, -87.726422045)"
7878562,HT108635,01/06/2011 05:26:00 PM,015XX N HOMAN AVE,0820,THEFT,$500 AND UNDER,CTA BUS,false,false,1422,014,26,23,06,1153404,1910246,2011,02/04/2016 06:33:39 AM,41.909559156,-87.711895721,"(41.909559156, -87.711895721)"
